2016-05-03T15:03:46+00:00 DEBUG (7): 
2016-05-03T15:03:46+00:00 DEBUG (7): 
2016-05-03T15:03:46+00:00 DEBUG (7): 
2016-05-03T15:03:46+00:00 DEBUG (7): 
2016-05-03T15:03:46+00:00 DEBUG (7): 
2016-05-03T15:03:46+00:00 DEBUG (7): 
2016-05-03T15:03:46+00:00 DEBUG (7): 
2016-05-03T15:03:46+00:00 DEBUG (7): 
2016-05-03T15:13:07+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:07+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:07+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:07+00:00 DEBUG (7): core_collection_abstract_load_before
2016-05-03T15:13:07+00:00 DEBUG (7): core_collection_abstract_load_after
2016-05-03T15:13:07+00:00 DEBUG (7): core_collection_abstract_load_before
2016-05-03T15:13:07+00:00 DEBUG (7): core_collection_abstract_load_after
2016-05-03T15:13:07+00:00 DEBUG (7): core_collection_abstract_load_before
2016-05-03T15:13:07+00:00 DEBUG (7): core_collection_abstract_load_after
2016-05-03T15:13:07+00:00 DEBUG (7): controller_front_init_before
2016-05-03T15:13:07+00:00 DEBUG (7): controller_front_init_routers
2016-05-03T15:13:07+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:07+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:07+00:00 DEBUG (7): model_load_after
2016-05-03T15:13:07+00:00 DEBUG (7): core_abstract_load_after
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): core_locale_set_locale
2016-05-03T15:13:08+00:00 DEBUG (7): customer_session_init
2016-05-03T15:13:08+00:00 DEBUG (7): controller_action_predispatch
2016-05-03T15:13:08+00:00 DEBUG (7): controller_action_predispatch_catalog
2016-05-03T15:13:08+00:00 DEBUG (7): controller_action_predispatch_catalog_product_view
2016-05-03T15:13:08+00:00 DEBUG (7): catalog_controller_product_init_before
2016-05-03T15:13:08+00:00 DEBUG (7): model_load_before
2016-05-03T15:13:08+00:00 DEBUG (7): catalog_product_load_before
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): model_load_after
2016-05-03T15:13:08+00:00 DEBUG (7): core_abstract_load_after
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): catalog_product_attribute_backend_media_load_gallery_before
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): model_load_after
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
2016-05-03T15:13:08+00:00 DEBUG (7): resource_get_tablename
